date,min-max,average_price
19 ก.ค. 2565,20 - 25,22.50 
20 ก.ค. 2565,20 - 25,22.50 
21 ก.ค. 2565,20 - 25,22.50 
22 ก.ค. 2565,25 - 30,27.50 
23 ก.ค. 2565,20 - 25,22.50 
24 ก.ค. 2565,20 - 25,22.50 
25 ก.ค. 2565,20 - 25,22.50 
26 ก.ค. 2565,20 - 25,22.50 
27 ก.ค. 2565,20 - 25,22.50 
28 ก.ค. 2565,20 - 25,22.50 
29 ก.ค. 2565,20 - 25,22.50 
30 ก.ค. 2565,25 - 30,27.50 
31 ก.ค. 2565,25 - 30,27.50 
01 ส.ค. 2565,20 - 25,22.50 
02 ส.ค. 2565,25 - 30,27.50 
03 ส.ค. 2565,25 - 30,27.50 
04 ส.ค. 2565,25 - 30,27.50 
05 ส.ค. 2565,25 - 30,27.50 
06 ส.ค. 2565,25 - 30,27.50 
07 ส.ค. 2565,25 - 30,27.50 
08 ส.ค. 2565,25 - 30,27.50 
09 ส.ค. 2565,25 - 30,27.50 
10 ส.ค. 2565,25 - 30,27.50 
11 ส.ค. 2565,25 - 30,27.50 
12 ส.ค. 2565,25 - 30,27.50 
13 ส.ค. 2565,25 - 30,27.50 
14 ส.ค. 2565,25 - 30,27.50 
15 ส.ค. 2565,25 - 30,27.50 
16 ส.ค. 2565,25 - 30,27.50 
17 ส.ค. 2565,25 - 30,27.50 
18 ส.ค. 2565,25 - 30,27.50 
19 ส.ค. 2565,25 - 30,27.50 
20 ส.ค. 2565,25 - 30,27.50 
21 ส.ค. 2565,25 - 30,27.50 
22 ส.ค. 2565,25 - 30,27.50 
23 ส.ค. 2565,25 - 30,27.50 
24 ส.ค. 2565,25 - 30,27.50 
25 ส.ค. 2565,25 - 30,27.50 
26 ส.ค. 2565,25 - 30,27.50 
27 ส.ค. 2565,25 - 30,27.50 
28 ส.ค. 2565,25 - 30,27.50 
29 ส.ค. 2565,25 - 30,27.50 
30 ส.ค. 2565,25 - 30,27.50 
31 ส.ค. 2565,25 - 30,27.50 
01 ก.ย. 2565,20 - 25,22.50 
02 ก.ย. 2565,20 - 25,22.50 
03 ก.ย. 2565,20 - 25,22.50 
04 ก.ย. 2565,20 - 25,22.50 
05 ก.ย. 2565,25 - 30,27.50 
06 ก.ย. 2565,25 - 30,27.50 
07 ก.ย. 2565,25 - 30,27.50 
08 ก.ย. 2565,25 - 30,27.50 
09 ก.ย. 2565,25 - 30,27.50 
10 ก.ย. 2565,25 - 30,27.50 
11 ก.ย. 2565,25 - 30,27.50 
12 ก.ย. 2565,25 - 30,27.50 
13 ก.ย. 2565,25 - 30,27.50 
14 ก.ย. 2565,25 - 30,27.50 
15 ก.ย. 2565,25 - 30,27.50 
16 ก.ย. 2565,25 - 30,27.50 
17 ก.ย. 2565,30 - 35,32.50 
18 ก.ย. 2565,30 - 35,32.50 
19 ก.ย. 2565,30 - 35,32.50 
20 ก.ย. 2565,30 - 35,32.50 
21 ก.ย. 2565,30 - 35,32.50 
22 ก.ย. 2565,30 - 35,32.50 
23 ก.ย. 2565,30 - 35,32.50 
24 ก.ย. 2565,30 - 35,32.50 
25 ก.ย. 2565,30 - 35,32.50 
26 ก.ย. 2565,30 - 35,32.50 
27 ก.ย. 2565,25 - 30,27.50 
28 ก.ย. 2565,25 - 30,27.50 
29 ก.ย. 2565,25 - 30,27.50 
30 ก.ย. 2565,25 - 30,27.50 
01 ต.ค. 2565,25 - 30,27.50 
02 ต.ค. 2565,25 - 30,27.50 
03 ต.ค. 2565,25 - 30,27.50 
04 ต.ค. 2565,25 - 30,27.50 
05 ต.ค. 2565,25 - 30,27.50 
06 ต.ค. 2565,25 - 30,27.50 
07 ต.ค. 2565,25 - 30,27.50 
08 ต.ค. 2565,25 - 30,27.50 
09 ต.ค. 2565,25 - 30,27.50 
10 ต.ค. 2565,40 - 45,42.50 
11 ต.ค. 2565,30 - 35,32.50 
12 ต.ค. 2565,35 - 40,37.50 
13 ต.ค. 2565,35 - 40,37.50 
14 ต.ค. 2565,35 - 40,37.50 
15 ต.ค. 2565,40 - 45,42.50 
16 ต.ค. 2565,40 - 45,42.50 
17 ต.ค. 2565,40 - 45,42.50 
18 ต.ค. 2565,40 - 45,42.50 
19 ต.ค. 2565,40 - 45,42.50 
20 ต.ค. 2565,40 - 45,42.50 
21 ต.ค. 2565,35 - 40,37.50 
22 ต.ค. 2565,35 - 40,37.50 
23 ต.ค. 2565,35 - 40,37.50 
24 ต.ค. 2565,35 - 40,37.50 
25 ต.ค. 2565,35 - 40,37.50 
26 ต.ค. 2565,30 - 35,32.50 
27 ต.ค. 2565,30 - 35,32.50 
28 ต.ค. 2565,30 - 35,32.50 
29 ต.ค. 2565,25 - 30,27.50 
30 ต.ค. 2565,25 - 30,27.50 
31 ต.ค. 2565,25 - 30,27.50 
01 พ.ย. 2565,25 - 30,27.50 
02 พ.ย. 2565,25 - 30,27.50 
03 พ.ย. 2565,20 - 25,22.50 
04 พ.ย. 2565,20 - 25,22.50 
05 พ.ย. 2565,20 - 25,22.50 
06 พ.ย. 2565,20 - 25,22.50 
07 พ.ย. 2565,20 - 25,22.50 
08 พ.ย. 2565,20 - 25,22.50 
09 พ.ย. 2565,20 - 25,22.50 
10 พ.ย. 2565,20 - 25,22.50 
11 พ.ย. 2565,20 - 25,22.50 
12 พ.ย. 2565,20 - 25,22.50 
13 พ.ย. 2565,20 - 25,22.50 
14 พ.ย. 2565,15 - 20,17.50 
15 พ.ย. 2565,15 - 20,17.50 
16 พ.ย. 2565,15 - 20,17.50 
17 พ.ย. 2565,15 - 20,17.50 
18 พ.ย. 2565,15 - 20,17.50 
19 พ.ย. 2565,15 - 20,17.50 
20 พ.ย. 2565,15 - 20,17.50 
21 พ.ย. 2565,15 - 20,17.50 
22 พ.ย. 2565,15 - 20,17.50 
23 พ.ย. 2565,15 - 20,17.50 
24 พ.ย. 2565,20 - 25,22.50 
25 พ.ย. 2565,20 - 25,22.50 
26 พ.ย. 2565,25 - 30,27.50 
27 พ.ย. 2565,25 - 30,27.50 
28 พ.ย. 2565,20 - 25,22.50 
29 พ.ย. 2565,20 - 25,22.50 
30 พ.ย. 2565,25 - 30,27.50 
01 ธ.ค. 2565,25 - 30,27.50 
02 ธ.ค. 2565,35 - 40,37.50 
03 ธ.ค. 2565,35 - 40,37.50 
04 ธ.ค. 2565,35 - 40,37.50 
05 ธ.ค. 2565,35 - 40,37.50 
06 ธ.ค. 2565,40 - 45,42.50 
07 ธ.ค. 2565,45 - 50,47.50 
08 ธ.ค. 2565,45 - 50,47.50 
09 ธ.ค. 2565,45 - 50,47.50 
10 ธ.ค. 2565,45 - 50,47.50 
11 ธ.ค. 2565,45 - 50,47.50 
12 ธ.ค. 2565,45 - 50,47.50 
13 ธ.ค. 2565,45 - 50,47.50 
14 ธ.ค. 2565,40 - 45,42.50 
15 ธ.ค. 2565,40 - 45,42.50 
16 ธ.ค. 2565,40 - 45,42.50 
17 ธ.ค. 2565,35 - 40,37.50 
18 ธ.ค. 2565,35 - 40,37.50 
19 ธ.ค. 2565,30 - 35,32.50 
20 ธ.ค. 2565,30 - 35,32.50 
21 ธ.ค. 2565,30 - 35,32.50 
22 ธ.ค. 2565,30 - 35,32.50 
23 ธ.ค. 2565,35 - 40,37.50 
